days on zillow,address,zip,city,price,bed,bath,sqFt,lotSize,yearBuilt,zillow property id,photoCount,latitude,longitude,zestimate
0,407 Ramble Ln,78745,Austin,525000,3,3,1715,9,1965,29487943,36,30.21028,97.777327,515191
1,11308 Wyola Bnd,78717,Austin,2050,4,2,1722,6098,2012,116080296,40,30.49111,97.796825,372348
1,11307 Circle Bend Dr,78758,Austin,520000,3,2,1727,9,1969,58302893,22,30.384957,97.690356,416695
1,10300 Morado Cv APT 103,78759,Austin,360000,3,3,1659,0.26 Acres,2001,62605133,30,30.401141,97.753965,404412
1,5203 Cloverdale Ln,78723,Austin,433000,3,1,1029,7,1959,29399782,40,30.300555,97.687523,430350
1,8708 Oakmountain Cir,78759,Austin,0,5,3,3014,0.33 Acres,1967,29431987,39,30.378504,97.74519,1076139
1,171 Saint Richie Ln,78737,Austin,422900,3,2,2051,9,2010,111964502,45,30.187611,97.980139,373961
1,14002 Osmarea Dr,78717,Austin,2200,4,3,2163,4399,2017,250925313,36,30.478029,97.770151,396407
1,4525 Clawson Rd,78745,Austin,0,2,3,1167,4,2020,2078450497,17,30.224042,97.786796,540136
1,12412 Capitol Saddlery Trl,78732,Austin,0,3,2,1917,8,2006,83827539,31,30.355021,97.903356,394502
1,2621 Baxter Dr,78745,Austin,449900,4,2,1325,6,1972,58314653,24,30.214495,97.811991,468847
1,12300 Painted Bunting Dr,78726,Austin,740000,4,3,2796,2.06 Acres,1990,29377662,28,30.449766,97.838079,692698
1,4608 Cleto St,78725,Austin,0,3,2,1887,5,2016,145654943,33,30.241182,97.577268,250100
1,1616 Catalan Rd,78748,Austin,275000,3,3,1543,3,2017,2092447246,21,30.150769,97.836903,null
1,1705 Gaylord Dr,78728,Austin,2000,4,2.5,1950,6969,1999,29447983,29,30.438641,97.674375,376097
3,3207 Nancy Gale Dr,78735,Austin,549900,4,2,1642,0.22 acres,1969,58312497,32,30.236979,97.80721,262175
3,13700 Sage Grouse Dr 1401,78729,Austin,1950,3,2.5,1812,null,2016,243338905,25,30.466063,97.761643,307850
2,10608 Archdale Dr,78748,Austin,2000,3,2,1047,4225,1987,29513859,20,30.156886,97.813542,335000
2,2316 Bettylou Ln,78754,Austin,2300,4,2.5,2467,7013,2018,249890734,22,30.355463,97.660063,345332
1,5813 Medicine Creek Dr,78735,Austin,695000,3,3,3051,8,2002,60136219,27,30.254375,97.884184,609458
2,6809 Sunderland Trl,78747,Austin,1800,3,2.5,2101,4504,2014,120901549,1,30.147336,97.743532,281497
1,2702 Little Valley Cv,78741,Austin,0,0,null,2193,0.3 acres,1973,29462857,1,30.228431,97.741369,435181
1,2819 Lyons Rd,78702,Austin,0,4,2,1732,0.15 acres,1948,29384505,1,30.263317,97.706941,519989
2,10701 Berthound Dr,78758,Austin,411000,3,2,1295,0.16 acres,1975,29432587,15,30.379511,97.697538,411003
1,8216 Briarwood Ln,78757,Austin,0,3,2,1156,0.18 acres,1961,29426389,31,30.365811,97.73357,438694
1,4620 Crestway Dr,78731,Austin,0,null,1.700000048,2101,0.88 acres,1957,29344111,1,30.330934,97.766581,1021786
1,8907 Mount Bartlett Dr,78759,Austin,0,3,2,2142,0.09 acres,1984,29363203,1,30.389329,97.762278,455225
1,7416 Branrust Dr,78744,Austin,0,4,3,2320,0.15 acres,2019,145656829,25,30.169127,97.725711,null
2,100 Clara Rose Ct,78717,Austin,2495,3,2.5,2381,4835,2015,121722263,20,30.487921,97.729594,428075
2,9207 Rowlands Sayle Rd,78744,Austin,257900,3,3,1496,0.1 acres,2005,70343439,39,30.161397,97.778562,254246
1,1411 Karen Ave A,78757,Austin,0,3,3,2076,0.18 acres,2020,2078238015,32,30.336855,97.73009,749904
2,2321 Lakehurst Dr,78744,Austin,272900,3,2,960,0.12 acres,1975,29503222,33,30.184931,97.757764,119985
2,935 La Posada Dr UNIT 153,78752,Austin,1000,1,1,528,1067,2017,241935507,12,30.32537,97.70414,174407
1,7501 Covered Bridge Dr,78736,Austin,0,4,4,3297,0.17 acres,2005,70327897,40,30.239801,97.900698,544356
1,4300 Triboro Trl,78749,Austin,0,3,2,1522,0.19 acres,1999,29488899,18,30.215067,97.842851,355226
1,8020 Linnie,73301,Austin,0,3,2,1600,null,null,2077655178,1,30.305612,97.62531,null
1,10006 Ramble Three St,78737,Austin,380000,null,null,null,4.25 acres,null,2077655494,1,30.217963,97.924755,null
1,3710 Chappie Ln,78725,Austin,0,3,3,2074,null,null,2077655384,1,30.231837,97.584133,null
1,2301 Cliffs Edge Dr,78733,Austin,0,5,4,4358,0.63 acres,1991,29336753,35,30.300679,97.889046,1145631
1,13717 Wiregrass Way,78717,Austin,0,4,4,2684,0.17 acres,2015,2099325819,38,30.484809,97.789462,507006
1,3808 Eton Ln,78727,Austin,465000,4,2,1632,0.18 acres,1979,58305292,33,30.414305,97.722499,449994
1,11705 Woodland Hills Trl,78732,Austin,450000,2,2,2074,0.16 acres,2005,70337432,20,30.360831,97.886781,450286
1,12708 Daniel Boone Dr,78737,Austin,236500,null,null,924,1.97 acres,null,28602825,34,30.199281,97.968327,null
1,2101 Exposition Blvd,78703,Austin,1365500,4,4,3660,0.27 acres,1992,29335158,34,30.295015,97.768812,1339577
1,9201 Brodie Ln UNIT 4201,78748,Austin,247500,2,2,1353,0.24 acres,2008,83126382,21,30.192326,97.841896,243683
1,400 Emerald Ridge Dr,78732,Austin,0,4,4,3818,0.26 acres,2011,83124822,37,30.340467,97.908982,829904
1,15028 Haley Holw,78728,Austin,0,4,2,2262,0.16 acres,1996,29451548,33,30.450488,97.682969,375415
1,2711 Willow St A,78702,Austin,0,3,3,1790,0.18 acres,2020,2078273563,31,30.252093,97.713638,null
1,12321 Barras Branch Dr 120,78748,Austin,0,3,2,1440,null,2009,2078048519,26,30.147872,97.851058,null
1,146 Big Meadow Rd,78737,Austin,586000,4,3,3327,0.31 acres,2017,119615616,40,30.165358,97.994505,560004
1,12912 Orihuela Dr,78652,Austin,0,3,2,1694,0.14 acres,2018,303838934,27,30.168604,97.915319,480002
1,9002 United Kingdom Dr,78748,Austin,0,4,2,1362,0.17 acres,1986,29509228,38,30.176902,97.809084,399889
1,7117 Dagon Dr,78754,Austin,0,3,2,1684,0.2 acres,1994,29419903,28,30.345334,97.609977,260100
2,12313 Indian Mound Dr,78758,Austin,519000,4,3,2081,0.31 acres,1974,29438691,25,30.405214,97.679224,377151
1,16019 Serene Fleming Trce,78728,Austin,355000,3,3,1838,0.14 acres,2016,241931246,26,30.46704,97.679793,355110
1,13309 Guarnere Dr,78617,Del Valle,0,4,3,2305,0.1 acres,2011,70342073,37,30.16898,97.612896,236457
1,15015 Savannah Heights Dr,78717,Austin,497500,4,3,2727,0.18 acres,2000,52830655,29,30.495175,97.773633,433306
1,5508 Kings Hwy,78745,Austin,429000,3,2,1176,0.23 acres,1966,29485213,7,30.214684,97.79512,434362
1,3110 Red River St APT 201,78705,Austin,1550,1,1,595,579,1973,145654188,30,30.29102,97.727383,274824
1,6601 Porter St,78741,Austin,1995,3,2,1458,7492,1960,29463981,30,30.229393,97.696843,282341
1,6000 Shepherd Mountain Cv UNIT 110,78730,Austin,190000,1,1,706,null,1992,2096118456,27,30.357393,97.796147,202608
1,2009 Malvern Hill Dr,78745,Austin,539900,3,3,1887,0.16 acres,1978,29497778,33,30.195263,97.811774,318150
1,904 Cripple Creek Dr,78758,Austin,0,3,2,1238,0.18 acres,1974,29431487,22,30.372427,97.695099,290877
0,7109 Whispering Oaks Dr,78745,Austin,2200,3,2,1082,9191,1970,29493618,25,30.203421,97.813362,280593
1,11809 Cedar Valley Cv,78753,Austin,439900,3,2,1786,0.25 acres,1962,58304645,27,30.38674,97.677876,451437
0,300 Bowie St APT 2406,78703,Austin,2100,1,1,698,69,2007,83818129,23,30.268944,97.754173,493429
0,4613 Walsall Loop,78749,Austin,400000,3,2,1755,0.16 acres,1997,29499794,25,30.197842,97.860244,393535
0,9221 Margaret Jewel Ln,78748,Austin,2200,3,2,1687,5697,2018,251035467,19,30.168327,97.798633,342240
0,6525 Alum Rock Cv,78747,Austin,250000,3,2,1314,0.21 acres,2004,63838081,25,30.154648,97.743005,256040
0,1806 Rainy Meadows Dr,78758,Austin,1595,2,1.5,1023,4138,1983,29435877,19,30.396255,97.701418,283379
0,1406 Atterbury Ln,78753,Austin,240000,3,2,1181,0.22 acres,1982,29435168,23,30.386427,97.65669,241541
1,9101 Ovalla Dr,78749,Austin,424000,null,2,2112,0.21 acres,2003,64827964,1,30.196293,97.853548,430394
0,13110 Greybull Trl,78729,Austin,350000,3,2,1433,0.23 acres,1986,29575399,31,30.447183,97.753627,361052
1,14704 Menifee St,78725,Austin,193000,3,2,1201,0.12 acres,1999,29462563,1,30.233089,97.587182,192045
0,13500 Utah Flats Dr,78727,Austin,1495,3,2.5,3066,7971,2000,29445459,28,30.425839,97.683294,445157
1,7112 Ridge Oak Rd,78749,Austin,0,4,3,2728,0.13 acres,1996,29481252,31,30.226693,97.863754,505448
0,1900 Barton Springs Rd UNIT 3004,78704,Austin,379900,1,1,677,0.01 acres,2013,251029035,23,30.265458,97.763139,376163
0,10300 Horace Dr,78753,Austin,485000,3,2,1958,0.38 acres,1968,29429315,30,30.364167,97.675035,489228
0,8307 Williamson Creek Dr,78736,Austin,525000,3,3,2307,0.31 acres,2015,29478194,30,30.239964,97.918928,531101
0,11631 Rydalwater Ln,78754,Austin,379900,5,3,3605,0.2 acres,1993,29424434,29,30.354397,97.613148,384436
days on zillow,address,zip,city,price,bed,bath,sqFt,lotSize,yearBuilt,zillow property id,photoCount,latitude,longitude,zestimate
1,3110 Red River St APT 201,78705,Austin,1550,1,1,595,579,1973,145654188,30,30.29102,97.727383,274824
3,3207 Nancy Gale Dr,78735,Austin,549900,4,2,1642,0.22 acres,1969,58312497,32,30.236979,97.80721,262175
3,13700 Sage Grouse Dr 1401,78729,Austin,1950,3,2.5,1812,null,2016,243338905,25,30.466063,97.761643,307850
2,2316 Bettylou Ln,78754,Austin,2300,4,2.5,2467,7013,2018,249890734,22,30.355463,97.660063,345332
2,10608 Archdale Dr,78748,Austin,2000,3,2,1047,4225,1987,29513859,20,30.156886,97.813542,335000
2,6809 Sunderland Trl,78747,Austin,1800,3,2.5,2101,4504,2014,120901549,1,30.147336,97.743532,281497
2,10701 Berthound Dr,78758,Austin,411000,3,2,1295,0.16 acres,1975,29432587,15,30.379511,97.697538,411003
1,4620 Crestway Dr,78731,Austin,0,null,1.700000048,2101,0.88 acres,1957,29344111,1,30.330934,97.766581,1021786
1,2819 Lyons Rd,78702,Austin,0,4,2,1732,0.15 acres,1948,29384505,1,30.263317,97.706941,519989
1,8907 Mount Bartlett Dr,78759,Austin,0,3,2,2142,0.09 acres,1984,29363203,1,30.389329,97.762278,455225
1,8216 Briarwood Ln,78757,Austin,0,3,2,1156,0.18 acres,1961,29426389,31,30.365811,97.73357,438694
1,7416 Branrust Dr,78744,Austin,0,4,3,2320,0.15 acres,2019,145656829,25,30.169127,97.725711,null
1,2702 Little Valley Cv,78741,Austin,0,0,null,2193,0.3 acres,1973,29462857,1,30.228431,97.741369,435181
1,1411 Karen Ave A,78757,Austin,0,3,3,2076,0.18 acres,2020,2078238015,32,30.336855,97.73009,749904
2,100 Clara Rose Ct,78717,Austin,2495,3,2.5,2381,4835,2015,121722263,20,30.487921,97.729594,428075
1,7501 Covered Bridge Dr,78736,Austin,0,4,4,3297,0.17 acres,2005,70327897,40,30.239801,97.900698,544356
2,9207 Rowlands Sayle Rd,78744,Austin,257900,3,3,1496,0.1 acres,2005,70343439,39,30.161397,97.778562,254246
